race,gender,familyType,education,income,icon
latino,woman,single,grad,inc325350,0
other,woman,single,grad,inc325350,0
white,woman,singleWDependent,noHS,inc325350,0
black,woman,singleWDependent,noHS,inc325350,0
latino,woman,singleWDependent,noHS,inc325350,0
other,woman,singleWDependent,noHS,inc325350,0
white,woman,singleWDependent,HS,inc325350,0
black,woman,singleWDependent,HS,inc325350,0
latino,woman,singleWDependent,HS,inc325350,0
other,woman,singleWDependent,HS,inc325350,0
white,woman,singleWDependent,someCollege,inc325350,0
black,woman,singleWDependent,someCollege,inc325350,0
latino,woman,singleWDependent,someCollege,inc325350,0
other,woman,singleWDependent,someCollege,inc325350,0
white,woman,singleWDependent,BA,inc325350,0
black,woman,singleWDependent,BA,inc325350,0
latino,woman,singleWDependent,BA,inc325350,0
other,woman,singleWDependent,BA,inc325350,0
white,woman,singleWDependent,grad,inc325350,0
black,woman,singleWDependent,grad,inc325350,0
latino,woman,singleWDependent,grad,inc325350,0
other,woman,singleWDependent,grad,inc325350,0
white,woman,Couple,noHS,inc325350,0
black,woman,Couple,noHS,inc325350,0
latino,woman,Couple,noHS,inc325350,0
other,woman,Couple,noHS,inc325350,0
white,woman,Couple,HS,inc325350,0
black,woman,Couple,HS,inc325350,0
latino,woman,Couple,HS,inc325350,0
other,woman,Couple,HS,inc325350,0
white,woman,Couple,someCollege,inc325350,0
