"race","gender","familyType","education","income","icon"
"Latino","Man","Couple","Graduate Degree","inc2550",1
"Other","Man","Couple","Graduate Degree","inc2550",0
"White","Man","Single","No High School","inc2550",2
"Black","Man","Single","No High School","inc2550",2
"Latino","Man","Single","No High School","inc2550",0
"Other","Man","Single","No High School","inc2550",0
"White","Man","Single","High School","inc2550",6
"Black","Man","Single","High School","inc2550",2
"Latino","Man","Single","High School","inc2550",1
"Other","Man","Single","High School","inc2550",0
"White","Man","Single","Some College","inc2550",5
"Black","Man","Single","Some College","inc2550",3
"Latino","Man","Single","Some College","inc2550",0
"Other","Man","Single","Some College","inc2550",1
"White","Man","Single","Bachelor's Degree","inc2550",7
"Black","Man","Single","Bachelor's Degree","inc2550",0
"Latino","Man","Single","Bachelor's Degree","inc2550",1
"Other","Man","Single","Bachelor's Degree","inc2550",0
"White","Man","Single","Graduate Degree","inc2550",2
"Black","Man","Single","Graduate Degree","inc2550",0
"Latino","Man","Single","Graduate Degree","inc2550",1
"Other","Man","Single","Graduate Degree","inc2550",0
"White","Man","Single with Dependent(s)","No High School","inc2550",1
"Black","Man","Single with Dependent(s)","No High School","inc2550",0
"Latino","Man","Single with Dependent(s)","No High School","inc2550",0
"Other","Man","Single with Dependent(s)","No High School","inc2550",0
"White","Man","Single with Dependent(s)","High School","inc2550",4
"Black","Man","Single with Dependent(s)","High School","inc2550",2
"Latino","Man","Single with Dependent(s)","High School","inc2550",2
"Other","Man","Single with Dependent(s)","High School","inc2550",0
"White","Man","Single with Dependent(s)","Some College","inc2550",3
"Black","Man","Single with Dependent(s)","Some College","inc2550",3
"Latino","Man","Single with Dependent(s)","Some College","inc2550",2
"Other","Man","Single with Dependent(s)","Some College","inc2550",1
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",1
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",1
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc2550",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc2550",2
"Black","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc2550",0
"White","Man","Couple","No High School","inc2550",5
"Black","Man","Couple","No High School","inc2550",1
"Latino","Man","Couple","No High School","inc2550",6
"Other","Man","Couple","No High School","inc2550",2
"White","Man","Couple","High School","inc2550",20
"Black","Man","Couple","High School","inc2550",1
"Latino","Man","Couple","High School","inc2550",5
"Other","Man","Couple","High School","inc2550",1
"White","Man","Couple","Some College","inc2550",15
"Black","Man","Couple","Some College","inc2550",0
"Latino","Man","Couple","Some College","inc2550",1
"Other","Man","Couple","Some College","inc2550",1
"White","Man","Couple","Bachelor's Degree","inc2550",3
"Black","Man","Couple","Bachelor's Degree","inc2550",1
"Latino","Man","Couple","Bachelor's Degree","inc2550",1
"Other","Man","Couple","Bachelor's Degree","inc2550",2
"White","Man","Couple","Graduate Degree","inc2550",2
"Black","Man","Couple","Graduate Degree","inc2550",0
"Latino","Man","Couple","Graduate Degree","inc2550",0
"Other","Man","Couple","Graduate Degree","inc2550",0
"White","Man","Single","No High School","inc5075",0
"Black","Man","Single","No High School","inc5075",0
"Latino","Man","Single","No High School","inc5075",0
"Other","Man","Single","No High School","inc5075",0
"White","Man","Single","High School","inc5075",3
"Black","Man","Single","High School","inc5075",1
"Latino","Man","Single","High School","inc5075",0
"Other","Man","Single","High School","inc5075",0
"White","Man","Single","Some College","inc5075",5
"Black","Man","Single","Some College","inc5075",0
"Latino","Man","Single","Some College","inc5075",0
"Other","Man","Single","Some College","inc5075",0
"White","Man","Single","Bachelor's Degree","inc5075",4
"Black","Man","Single","Bachelor's Degree","inc5075",0
"Latino","Man","Single","Bachelor's Degree","inc5075",0
"Other","Man","Single","Bachelor's Degree","inc5075",1
"White","Man","Single","Graduate Degree","inc5075",1
"Black","Man","Single","Graduate Degree","inc5075",0
"Latino","Man","Single","Graduate Degree","inc5075",0
"Other","Man","Single","Graduate Degree","inc5075",1
"White","Man","Single with Dependent(s)","No High School","inc5075",1
"Black","Man","Single with Dependent(s)","No High School","inc5075",0
"Latino","Man","Single with Dependent(s)","No High School","inc5075",0
"Other","Man","Single with Dependent(s)","No High School","inc5075",0
"White","Man","Single with Dependent(s)","High School","inc5075",1
"Black","Man","Single with Dependent(s)","High School","inc5075",0
"Latino","Man","Single with Dependent(s)","High School","inc5075",0
"Other","Man","Single with Dependent(s)","High School","inc5075",0
"White","Man","Single with Dependent(s)","Some College","inc5075",2
"Black","Man","Single with Dependent(s)","Some College","inc5075",1
"Latino","Man","Single with Dependent(s)","Some College","inc5075",0
"Other","Man","Single with Dependent(s)","Some College","inc5075",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"White","Man","Couple","No High School","inc5075",3
"Black","Man","Couple","No High School","inc5075",1
"Latino","Man","Couple","No High School","inc5075",2
"Other","Man","Couple","No High School","inc5075",0
"White","Man","Couple","High School","inc5075",19
"Black","Man","Couple","High School","inc5075",1
"Latino","Man","Couple","High School","inc5075",2
"Other","Man","Couple","High School","inc5075",1
"White","Man","Couple","Some College","inc5075",14
"Black","Man","Couple","Some College","inc5075",1
"Latino","Man","Couple","Some College","inc5075",3
"Other","Man","Couple","Some College","inc5075",1
"White","Man","Couple","Bachelor's Degree","inc5075",10
"Black","Man","Couple","Bachelor's Degree","inc5075",0
"Latino","Man","Couple","Bachelor's Degree","inc5075",1
"Other","Man","Couple","Bachelor's Degree","inc5075",2
"White","Man","Couple","Graduate Degree","inc5075",5
"Black","Man","Couple","Graduate Degree","inc5075",0
"Latino","Man","Couple","Graduate Degree","inc5075",0
"Other","Man","Couple","Graduate Degree","inc5075",0
"White","Man","Single","No High School","inc5075",0
"Black","Man","Single","No High School","inc5075",0
"Latino","Man","Single","No High School","inc5075",0
"Other","Man","Single","No High School","inc5075",0
"White","Man","Single","High School","inc5075",2
"Black","Man","Single","High School","inc5075",0
"Latino","Man","Single","High School","inc5075",0
"Other","Man","Single","High School","inc5075",0
"White","Man","Single","Some College","inc5075",4
"Black","Man","Single","Some College","inc5075",0
"Latino","Man","Single","Some College","inc5075",1
"Other","Man","Single","Some College","inc5075",0
"White","Man","Single","Bachelor's Degree","inc5075",5
"Black","Man","Single","Bachelor's Degree","inc5075",0
"Latino","Man","Single","Bachelor's Degree","inc5075",0
"Other","Man","Single","Bachelor's Degree","inc5075",0
"White","Man","Single","Graduate Degree","inc5075",1
"Black","Man","Single","Graduate Degree","inc5075",1
"Latino","Man","Single","Graduate Degree","inc5075",0
"Other","Man","Single","Graduate Degree","inc5075",0
"White","Man","Single with Dependent(s)","No High School","inc5075",1
"Black","Man","Single with Dependent(s)","No High School","inc5075",0
"Latino","Man","Single with Dependent(s)","No High School","inc5075",0
"Other","Man","Single with Dependent(s)","No High School","inc5075",0
"White","Man","Single with Dependent(s)","High School","inc5075",2
"Black","Man","Single with Dependent(s)","High School","inc5075",0
"Latino","Man","Single with Dependent(s)","High School","inc5075",1
"Other","Man","Single with Dependent(s)","High School","inc5075",1
"White","Man","Single with Dependent(s)","Some College","inc5075",2
"Black","Man","Single with Dependent(s)","Some College","inc5075",1
"Latino","Man","Single with Dependent(s)","Some College","inc5075",0
"Other","Man","Single with Dependent(s)","Some College","inc5075",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",1
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc5075",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc5075",1
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc5075",0
"White","Man","Couple","No High School","inc5075",3
"Black","Man","Couple","No High School","inc5075",0
"Latino","Man","Couple","No High School","inc5075",2
"Other","Man","Couple","No High School","inc5075",0
"White","Man","Couple","High School","inc5075",20
"Black","Man","Couple","High School","inc5075",1
"Latino","Man","Couple","High School","inc5075",2
"Other","Man","Couple","High School","inc5075",1
"White","Man","Couple","Some College","inc5075",15
"Black","Man","Couple","Some College","inc5075",1
"Latino","Man","Couple","Some College","inc5075",3
"Other","Man","Couple","Some College","inc5075",1
"White","Man","Couple","Bachelor's Degree","inc5075",9
"Black","Man","Couple","Bachelor's Degree","inc5075",1
"Latino","Man","Couple","Bachelor's Degree","inc5075",1
"Other","Man","Couple","Bachelor's Degree","inc5075",1
"White","Man","Couple","Graduate Degree","inc5075",4
"Black","Man","Couple","Graduate Degree","inc5075",0
"Latino","Man","Couple","Graduate Degree","inc5075",0
"Other","Man","Couple","Graduate Degree","inc5075",1
"White","Man","Single","No High School","inc75100",0
"Black","Man","Single","No High School","inc75100",0
"Latino","Man","Single","No High School","inc75100",0
"Other","Man","Single","No High School","inc75100",0
"White","Man","Single","High School","inc75100",2
"Black","Man","Single","High School","inc75100",0
"Latino","Man","Single","High School","inc75100",0
"Other","Man","Single","High School","inc75100",0
"White","Man","Single","Some College","inc75100",1
"Black","Man","Single","Some College","inc75100",0
"Latino","Man","Single","Some College","inc75100",0
"Other","Man","Single","Some College","inc75100",0
"White","Man","Single","Bachelor's Degree","inc75100",0
"Black","Man","Single","Bachelor's Degree","inc75100",1
"Latino","Man","Single","Bachelor's Degree","inc75100",1
"Other","Man","Single","Bachelor's Degree","inc75100",0
"White","Man","Single","Graduate Degree","inc75100",1
"Black","Man","Single","Graduate Degree","inc75100",1
"Latino","Man","Single","Graduate Degree","inc75100",0
"Other","Man","Single","Graduate Degree","inc75100",0
"White","Man","Single with Dependent(s)","No High School","inc75100",0
"Black","Man","Single with Dependent(s)","No High School","inc75100",0
"Latino","Man","Single with Dependent(s)","No High School","inc75100",0
"Other","Man","Single with Dependent(s)","No High School","inc75100",0
"White","Man","Single with Dependent(s)","High School","inc75100",1
"Black","Man","Single with Dependent(s)","High School","inc75100",0
"Latino","Man","Single with Dependent(s)","High School","inc75100",0
"Other","Man","Single with Dependent(s)","High School","inc75100",0
"White","Man","Single with Dependent(s)","Some College","inc75100",0
"Black","Man","Single with Dependent(s)","Some College","inc75100",0
"Latino","Man","Single with Dependent(s)","Some College","inc75100",0
"Other","Man","Single with Dependent(s)","Some College","inc75100",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",0
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc75100",1
"White","Man","Couple","No High School","inc75100",1
"Black","Man","Couple","No High School","inc75100",0
"Latino","Man","Couple","No High School","inc75100",2
"Other","Man","Couple","No High School","inc75100",0
"White","Man","Couple","High School","inc75100",16
"Black","Man","Couple","High School","inc75100",0
"Latino","Man","Couple","High School","inc75100",1
"Other","Man","Couple","High School","inc75100",1
"White","Man","Couple","Some College","inc75100",12
"Black","Man","Couple","Some College","inc75100",2
"Latino","Man","Couple","Some College","inc75100",1
"Other","Man","Couple","Some College","inc75100",1
"White","Man","Couple","Bachelor's Degree","inc75100",8
"Black","Man","Couple","Bachelor's Degree","inc75100",1
"Latino","Man","Couple","Bachelor's Degree","inc75100",1
"Other","Man","Couple","Bachelor's Degree","inc75100",1
"White","Man","Couple","Graduate Degree","inc75100",4
"Black","Man","Couple","Graduate Degree","inc75100",1
"Latino","Man","Couple","Graduate Degree","inc75100",0
"Other","Man","Couple","Graduate Degree","inc75100",0
"White","Man","Single","No High School","inc75100",0
"Black","Man","Single","No High School","inc75100",0
"Latino","Man","Single","No High School","inc75100",0
"Other","Man","Single","No High School","inc75100",0
"White","Man","Single","High School","inc75100",0
"Black","Man","Single","High School","inc75100",0
"Latino","Man","Single","High School","inc75100",0
"Other","Man","Single","High School","inc75100",0
"White","Man","Single","Some College","inc75100",1
"Black","Man","Single","Some College","inc75100",0
"Latino","Man","Single","Some College","inc75100",0
"Other","Man","Single","Some College","inc75100",0
"White","Man","Single","Bachelor's Degree","inc75100",2
"Black","Man","Single","Bachelor's Degree","inc75100",1
"Latino","Man","Single","Bachelor's Degree","inc75100",0
"Other","Man","Single","Bachelor's Degree","inc75100",0
"White","Man","Single","Graduate Degree","inc75100",1
"Black","Man","Single","Graduate Degree","inc75100",0
"Latino","Man","Single","Graduate Degree","inc75100",0
"Other","Man","Single","Graduate Degree","inc75100",0
"White","Man","Single with Dependent(s)","No High School","inc75100",0
"Black","Man","Single with Dependent(s)","No High School","inc75100",0
"Latino","Man","Single with Dependent(s)","No High School","inc75100",0
"Other","Man","Single with Dependent(s)","No High School","inc75100",0
"White","Man","Single with Dependent(s)","High School","inc75100",1
"Black","Man","Single with Dependent(s)","High School","inc75100",0
"Latino","Man","Single with Dependent(s)","High School","inc75100",0
"Other","Man","Single with Dependent(s)","High School","inc75100",0
"White","Man","Single with Dependent(s)","Some College","inc75100",2
"Black","Man","Single with Dependent(s)","Some College","inc75100",0
"Latino","Man","Single with Dependent(s)","Some College","inc75100",1
"Other","Man","Single with Dependent(s)","Some College","inc75100",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",1
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",1
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc75100",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc75100",0
"White","Man","Couple","No High School","inc75100",3
"Black","Man","Couple","No High School","inc75100",0
"Latino","Man","Couple","No High School","inc75100",0
"Other","Man","Couple","No High School","inc75100",0
"White","Man","Couple","High School","inc75100",10
"Black","Man","Couple","High School","inc75100",1
"Latino","Man","Couple","High School","inc75100",1
"Other","Man","Couple","High School","inc75100",0
"White","Man","Couple","Some College","inc75100",13
"Black","Man","Couple","Some College","inc75100",2
"Latino","Man","Couple","Some College","inc75100",2
"Other","Man","Couple","Some College","inc75100",1
"White","Man","Couple","Bachelor's Degree","inc75100",11
"Black","Man","Couple","Bachelor's Degree","inc75100",0
"Latino","Man","Couple","Bachelor's Degree","inc75100",1
"Other","Man","Couple","Bachelor's Degree","inc75100",1
"White","Man","Couple","Graduate Degree","inc75100",4
"Black","Man","Couple","Graduate Degree","inc75100",1
"Latino","Man","Couple","Graduate Degree","inc75100",1
"Other","Man","Couple","Graduate Degree","inc75100",1
"White","Man","Single","No High School","inc100125",0
"Black","Man","Single","No High School","inc100125",0
"Latino","Man","Single","No High School","inc100125",0
"Other","Man","Single","No High School","inc100125",0
"White","Man","Single","High School","inc100125",0
"Black","Man","Single","High School","inc100125",0
"Latino","Man","Single","High School","inc100125",0
"Other","Man","Single","High School","inc100125",0
"White","Man","Single","Some College","inc100125",1
"Black","Man","Single","Some College","inc100125",0
"Latino","Man","Single","Some College","inc100125",0
"Other","Man","Single","Some College","inc100125",0
"White","Man","Single","Bachelor's Degree","inc100125",1
"Black","Man","Single","Bachelor's Degree","inc100125",0
"Latino","Man","Single","Bachelor's Degree","inc100125",0
"Other","Man","Single","Bachelor's Degree","inc100125",0
"White","Man","Single","Graduate Degree","inc100125",0
"Black","Man","Single","Graduate Degree","inc100125",0
"Latino","Man","Single","Graduate Degree","inc100125",0
"Other","Man","Single","Graduate Degree","inc100125",1
"White","Man","Single with Dependent(s)","No High School","inc100125",0
"Black","Man","Single with Dependent(s)","No High School","inc100125",0
"Latino","Man","Single with Dependent(s)","No High School","inc100125",0
"Other","Man","Single with Dependent(s)","No High School","inc100125",0
"White","Man","Single with Dependent(s)","High School","inc100125",0
"Black","Man","Single with Dependent(s)","High School","inc100125",0
"Latino","Man","Single with Dependent(s)","High School","inc100125",0
"Other","Man","Single with Dependent(s)","High School","inc100125",0
"White","Man","Single with Dependent(s)","Some College","inc100125",0
"Black","Man","Single with Dependent(s)","Some College","inc100125",0
"Latino","Man","Single with Dependent(s)","Some College","inc100125",0
"Other","Man","Single with Dependent(s)","Some College","inc100125",0
"White","Man","Single with Dependent(s)","Bachelor's Degree","inc100125",0
"Black","Man","Single with Dependent(s)","Bachelor's Degree","inc100125",0
"Latino","Man","Single with Dependent(s)","Bachelor's Degree","inc100125",0
"Other","Man","Single with Dependent(s)","Bachelor's Degree","inc100125",0
"White","Man","Single with Dependent(s)","Graduate Degree","inc100125",0
"Black","Man","Single with Dependent(s)","Graduate Degree","inc100125",0
"Latino","Man","Single with Dependent(s)","Graduate Degree","inc100125",0
"Other","Man","Single with Dependent(s)","Graduate Degree","inc100125",0
"White","Man","Couple","No High School","inc100125",0
"Black","Man","Couple","No High School","inc100125",0
"Latino","Man","Couple","No High School","inc100125",1
"Other","Man","Couple","No High School","inc100125",0
"White","Man","Couple","High School","inc100125",6
"Black","Man","Couple","High School","inc100125",1
"Latino","Man","Couple","High School","inc100125",1
"Other","Man","Couple","High School","inc100125",1
"White","Man","Couple","Some College","inc100125",10
"Black","Man","Couple","Some College","inc100125",1
"Latino","Man","Couple","Some College","inc100125",2
"Other","Man","Couple","Some College","inc100125",0
"White","Man","Couple","Bachelor's Degree","inc100125",9
"Black","Man","Couple","Bachelor's Degree","inc100125",1
"Latino","Man","Couple","Bachelor's Degree","inc100125",1
"Other","Man","Couple","Bachelor's Degree","inc100125",0
"White","Man","Couple","Graduate Degree","inc100125",5
"Black","Man","Couple","Graduate Degree","inc100125",0
"Latino","Man","Couple","Graduate Degree","inc100125",0
"Other","Man","Couple","Graduate Degree","inc100125",1
"White","Man","Single","No High School","inc100125",0
"Black","Man","Single","No High School","inc100125",0
"Latino","Man","Single","No High School","inc100125",0
"Other","Man","Single","No High School","inc100125",0
"White","Man","Single","High School","inc100125",1
"Black","Man","Single","High School","inc100125",0
"Latino","Man","Single","High School","inc100125",0
